행정구역,2026년04월_계_총인구수,2026년04월_계_연령구간인구수,2026년04월_계_0~9세,2026년04월_계_10~19세,2026년04월_계_20~29세,2026년04월_계_30~39세,2026년04월_계_40~49세,2026년04월_계_50~59세,2026년04월_계_60~69세,2026년04월_계_70~79세,2026년04월_계_80~89세,2026년04월_계_90~99세,2026년04월_계_100세 이상,2026년04월_남_총인구수,2026년04월_남_연령구간인구수,2026년04월_남_0~9세,2026년04월_남_10~19세,2026년04월_남_20~29세,2026년04월_남_30~39세,2026년04월_남_40~49세,2026년04월_남_50~59세,2026년04월_남_60~69세,2026년04월_남_70~79세,2026년04월_남_80~89세,2026년04월_남_90~99세,2026년04월_남_100세 이상,2026년04월_여_총인구수,2026년04월_여_연령구간인구수,2026년04월_여_0~9세,2026년04월_여_10~19세,2026년04월_여_20~29세,2026년04월_여_30~39세,2026년04월_여_40~49세,2026년04월_여_50~59세,2026년04월_여_60~69세,2026년04월_여_70~79세,2026년04월_여_80~89세,2026년04월_여_90~99세,2026년04월_여_100세 이상
경기도 수원시 장안구 (4111100000),"270,439","270,439","13,441","24,998","37,341","35,506","37,824","49,152","40,618","20,065","9,647","1,810",37,"135,626","135,626","6,826","12,943","20,437","18,914","18,957","24,174","20,240","9,029","3,647",452,7,"134,813","134,813","6,615","12,055","16,904","16,592","18,867","24,978","20,378","11,036","6,000","1,358",30
경기도 수원시 권선구 (4111300000),"360,365","360,365","20,596","31,640","44,158","57,588","55,826","61,150","53,241","24,649","9,805","1,669",43,"181,671","181,671","10,655","16,253","22,538","31,032","29,132","30,137","26,343","11,487","3,659",431,4,"178,694","178,694","9,941","15,387","21,620","26,556","26,694","31,013","26,898","13,162","6,146","1,238",39
경기도 수원시 팔달구 (4111500000),"193,197","193,197","10,235","13,127","27,890","32,633","26,498","31,862","27,889","15,180","6,753","1,090",40,"96,991","96,991","5,281","6,707","13,970","17,688","13,961","15,992","13,765","6,747","2,583",290,7,"96,206","96,206","4,954","6,420","13,920","14,945","12,537","15,870","14,124","8,433","4,170",800,33
경기도 수원시 영통구 (4111700000),"362,149","362,149","26,989","40,581","50,580","62,731","62,850","57,895","37,683","15,209","6,420","1,178",33,"181,190","181,190","13,903","20,923","25,996","32,420","30,995","28,515","18,783","6,976","2,380",291,8,"180,959","180,959","13,086","19,658","24,584","30,311","31,855","29,380","18,900","8,233","4,040",887,25
경기도 성남시 (4113000000),"904,576","904,576","53,909","81,056","103,124","134,802","140,031","150,147","130,734","72,986","31,862","5,772",153,"446,684","446,684","27,517","41,330","52,426","69,565","69,620","74,520","63,664","33,708","12,759","1,544",31,"457,892","457,892","26,392","39,726","50,698","65,237","70,411","75,627","67,070","39,278","19,103","4,228",122
경기도 성남시 수정구 (4113100000),"234,182","234,182","13,097","16,071","27,472","36,244","33,910","38,134","37,531","21,873","8,544","1,275",31,"118,301","118,301","6,692","8,082","14,390","19,382","17,964","19,571","18,507","10,074","3,320",312,7,"115,881","115,881","6,405","7,989","13,082","16,862","15,946","18,563","19,024","11,799","5,224",963,24
경기도 성남시 중원구 (4113300000),"201,767","201,767","9,876","13,875","23,144","30,999","28,425","33,336","34,181","19,106","7,663","1,117",45,"101,522","101,522","5,002","7,173","11,882","16,801","14,969","16,932","16,685","8,836","2,977",257,8,"100,245","100,245","4,874","6,702","11,262","14,198","13,456","16,404","17,496","10,270","4,686",860,37
경기도 성남시 분당구 (4113500000),"468,627","468,627","30,936","51,110","52,508","67,559","77,696","78,677","59,022","32,007","15,655","3,380",77,"226,861","226,861","15,823","26,075","26,154","33,382","36,687","38,017","28,472","14,798","6,462",975,16,"241,766","241,766","15,113","25,035","26,354","34,177","41,009","40,660","30,550","17,209","9,193","2,405",61
경기도 의정부시 (4115000000),"461,741","461,741","26,449","39,529","52,710","60,798","67,395","81,757","72,144","39,170","18,750","2,978",61,"226,495","226,495","13,629","20,369","26,269","31,409","34,474","39,920","34,959","17,533","7,123",799,11,"235,246","235,246","12,820","19,160","26,441","29,389","32,921","41,837","37,185","21,637","11,627","2,179",50
경기도 안양시 (4117000000),"562,409","562,409","35,129","48,874","62,547","87,061","82,707","93,562","87,172","44,076","17,853","3,351",77,"277,085","277,085","17,920","25,028","32,082","44,915","41,735","45,152","41,801","20,905","6,746",788,13,"285,324","285,324","17,209","23,846","30,465","42,146","40,972","48,410","45,371","23,171","11,107","2,563",64
